Tag,出现次数,中文描述
cricket_player,1,板球选手
criminal_trial,1,刑事审判
crisissoftware,1,危机软件
data_structure,1,数据 结构
database_topic,49,数据库( T)
dated_location,2398,日期( L)
dbpedia_import,178,dbpedia 导入
decision_maker,2,决策者( M)
dedicated_work,32,专用( W)
default_domain,3084,默认区域
digitalcameras,3,数码相机
dog_coat_color,4,条coat color
electricalcars,1,电动车
endofallthings,25,一切的尽头
event_category,8,事件  类别
event_producer,1,事件( P)
execution_type,1,执行类型
existentialism,12,存在主义
exoplanetology,3,外行星学
exterior_color,4,外部( C)
featured_topic,1,专题
femalediseases,8,女性疾病
field_of_study,230,学习区域( O)
film_character,27,胶片( C)
filmfareawards,10,胶片
filmflexmovies,154,胶片胶片
focal_location,36,焦距位置
football_coach,2,足球俱乐部
formula_1_team,1,公式  1  团队
frenchpolitics,1,法国政治
game_character,12,游戏( C)
game_publisher,8,游戏( P)
gaming_console,1,游戏控制台
garrettstrobel,2,格勒特斯特罗贝尔
gendered_topic,2,性别( T)
geodescription,1,地理描述
gh_focus_areas,3,gh 焦点 区域
grammalseizure,1,格鲁玛塞苏尔
graphic_design,7,图形设计
greater_london,6,大号( L)
greek_loanword,38,希腊语  借词
greeneducation,3,绿色教育
hampsteadheath,1,汉普斯特福
holiday_period,1,假日 期间
honorary_title,123,荣誉( T)
hospital_drama,2,医院剧情( D):
hotel_operator,3,酒店运营商( O)
human_language,66,人类语
humanresources,2,人力资源
hummingbirdhub,1,蜂鸟胡
identification,1,识别
inflation_rate,1,通货膨胀率 
influence_node,2716,影响( Node)
infrastructure,20,基础设施
injured_person,15,受伤人员
irish_politics,2,爱尔兰语   政治
judicial_title,4,司法标题
kurtsmusikbase,3,库茨穆斯基基地
ladyterminator,1,女士终结者
leergebied_vak,1,列尔格比德  vak
life_insurance,1,人寿保险
literary_genre,129,文学流派
londontheatres,4,伦敦剧院
magazine_genre,31,杂志流派( G)
magazine_topic,10,杂志主题
man_made_thing,64,人为( M)
managed_artist,5,管理艺人( A)
martial_artist,10,武术家
massage_origin,1,按摩来源
military_power,259,军力
mined_material,3,已雷区  材料
monetarydebase,9,货币基准
monster_gender,2,怪兽 性别
mosaic_country,1,马赛克语color
mountain_range,13,山脉( R)
mountainhiking,2,登山
mtg_mana_color,5,mtg mana 颜色
musical_artist,6,音乐小艺术家
nascar_sponsor,8,纳斯卡尔 赞助商
nathalieatalla,4,纳塔利亚塔拉
nfl_ladies_man,1,nfl ladies man (中文(简体) ).
nitromaster101,30,硝化炉101
notable_couple,1,备注( C)
notable_person,6,备注( P)
nutrient_extra,72,营养素  外部
object_profile,1,对象( P)
oldmovielovers,1,老莫维埃洛弗斯
onewayshopping,3,单程购物
online_project,1,在线  项目
ontology_class,15,肿瘤学类( C)
opera_director,2,歌剧 导演
opera_producer,2,歌剧制作者
organic_object,60,有机对象( O)
organizations1,1,组织1
original_owner,34,原始拥有者( O)
ottoman_empire,6,奥托曼语 empire
part_1_offense,2,部分  1  防御
performing_art,5,执行( A)
pharmaceutical,1,制药
philbsuniverse,66,双曲线
plantstructure,1,植物结构
poem_character,2,诗歌名称( C)
pokemonspecies,1,刺mon物种
principal_area,6,主区域
private_equity,1,私募股权
product_skills,9,产品 技能
programmingart,12,编程艺术
proposal_agent,14,建议代理人( A)
propowerrooter,1,推进器
protected_site,2,保护网站
psychoanalysis,3,心理分析
public_speaker,40,公共演讲器
publicspeaking,2,公共语言
published_work,5,已发布( W)
rehab_facility,2,康复设施( F)
related_people,1,相关( P)
related_topics,1,相关 专题
religious_text,1,语句
research_topic,8,研究 专题
reviewed_topic,29,审查的专题 
rivalry_spoils,1,竞争( S)
rivers_visited,4,访问河流( V)
roccellajonica,1,罗切拉霍尼卡
rugby_position,1,橄榄球位置( P)
runwaymagazine,1,跑道磁铁
school_subject,25,学校 学科
seasonal_month,13,季节( M)
secret_society,2,秘密社会
sharable_thing,1,乱七八糟的
sharing_system,1,共享系统( S)
sherlockholmes,8,谢洛克霍尔姆斯
ski_area_owner,2,滑雪区域( A)
skill_category,1,技能   类别
software_genre,23,软件流派( G)
solid_material,2,固体   材料
sopranosingers,34,女高音演员
sprocketonline,23,闪烁线
stefanocolzani,1,斯泰法诺科尔扎尼
the1968project,1,1968年项目
thesolarsystem,4,系统
transit_agency,2,过渡机构
transit_system,2,中转系统
transport_type,1,运算器 类型
transportation,5,运输
tv_actor_extra,57,tv 演员 外部
tv_personality,955,tv 个性
tv_soaps_actor,1,tv soaps 演员
type_of_injury,1,伤害类型( I)
type_of_museum,2,类型( M)
uoa_technology,3,uoa 技术
urban_district,44,城市地区
video_standard,1,视频 标准
violation_type,2,违反( T)
warrant_issuer,5,授权签发人
wealthy_person,13,有钱人
wissamshekhani,2,维桑谢哈尼
wonder_creator,1,奇数创建器
x_common_topic,1,x 常见  专题
Futures_Studies,12,未来  研究
abbeysofbritain,3,修道院牧师
adoptive_parent,1,收养 父母
amusement_parks,69,游乐园
animal_synopses,17,动物概要( S)
animal_synopsis,12,动物概要
animalpathology,10,动物病理学
appellate_court,2,上诉法院
at_municipality,5,城市数量
athletics_medal,3,运动员 医学
autonomous_city,1,自动城市
ballet_composer,14,芭蕾舞  组合器
baseball_league,1,棒球同学
baseball_player,10,棒球运动员
basketball_team,58,篮球 团队
bollywood_films,11,胶片
business_cliche,1,商业   cliche
c12256912458019,1,c12256912458019 (中文(简体) ).
campaign_issues,4,活动( I)
canadian_lawyer,1,加拿大语 律师
character_class,1,字符类( C)
cherferroggiaro,2,雪佛兰吉亚罗
chief_executive,1,主执行
chief_of_police,2,警察总长
chivalric_order,8,骑士  顺序
chivalric_title,3,骑士 标题
cinemainspector,161,电影监督员
cinematographer,166,电影摄影师
city_in_fiction,1,城市小说
clique_interest,6,兴趣
cloudcomputing1,1,云计算1
cn_municipality,4,cn 市镇
coachjudynelson,1,朱迪内尔森教练
company_advisor,11,公司咨询
computerscience,9,计算机科学
consumermedical,212,消费者医疗
contact_product,54,联系人 产品
content_license,1,内容   许可证
corporate_whore,1,企业 妓女
cuisineindienne,4,烹饪
cultivar_origin,10,种植地 原产地
cycling_terrain,1,循环( terrain)
dataengineering,1,数据工程
deceased_person,1182,已死亡人员
defunct_company,83,已停业 公司
defunct_country,5,已撤销( N)
derivativeworks,1,衍生作品
designated_city,9,指定城市( C)
diagnostic_test,1,诊断( T)
digisynddillonm,1,digisynddillonm (英语)
disabled_person,18,禁用人员
dog_breed_group,2,犬类( B)
drafted_athlete,19,已起草( R)
drug_in_fiction,2,药物 在虚构
drug_ingredient,62,药物
economic_bubble,1,经济泡泡
economic_events,2,经济活动
economics_prize,1,经济学( P)
elizabeth_banks,1,伊丽莎白银行 银行
ellerdale_topic,1,埃列尔代尔  专题
enrico_speranza,2,斯佩兰扎语Name
executed_person,3,已执行( P)
facetedbrowsing,3,面部浏览
featured_artist,240,艺人
federal_subject,3,联邦主题
federative_unit,2,联邦单位
festival_series,5,节( S)
film_collection,1,电影收藏( C)
film_crewmember,137,摄制组成员( C)
findbandmembers,3,查找带成员
food_web_member,6,食物 网络 会员
football_league,3,足球联盟
football_player,111,足球运动员
footballcoaches,2,足球馆
founding_figure,3,创建( F)
francoisdongier,1,法语
freedom_fighter,1,自由战士
fustbariclation,1,烟熏
gender_identity,2,性别认同
geotagged_image,1,图形
gerardovalentin,1,热尔多华宁
greek_mythology,1,希腊语 神话学
grupos_musicais,16,音乐
hannsheinzewers,2,汉辛泽尔人
herb_complement,1,草药( C)
historicalfilms,9,历史电影
hockey_position,5,曲棍球位置( P)
homesteadstrike,3,家庭补贴
honorarydegrees,4,荣誉学位
honoured_person,1,荣誉( P)
house_committee,2,页:1
human_resources,7,人力资源
indianelections,28,印第安人选举
ingredient_type,1,成分 类型
iranianbuilding,1,伊斯兰建筑
jamaicanculture,2,果酱种植
journeytoprozac,1,行程
jp_special_ward,2,ưμ㼯A
key_application,5,密钥 应用程序
key_contributor,2,密钥( C)
kind_of_rivalry,6,类型( R)
kp_special_city,1,kp  特别  城市
language_family,3,语言   家族
large_dog_breed,3,大狗  繁殖
lastdestination,1,最后一次约会
license_version,1,许可证版本( V)
listed_building,1,列出的建筑
literary_series,1,文学系列
losangelesbands,34,丝带
mailing_address,1,邮件地址
manga_publisher,2,漫画( P)
markus_frankies,2,标记( F)
martijnweghorst,3,马尔蒂耶恩韦格斯特
measured_person,410,测量人数( P)
media_franchise,2,媒体( F)
merge_candidate,11,合并( C)
military_awards,14,军衔
military_person,185,军人
mobile_handsets,1,移动手集
mobilecomputers,4,移动计算机
monster_creator,1,怪物创建器( C)
motivated_event,9,活动
mrmasterbastard,1,马斯特巴斯塔德先生
murdered_person,18,被谋杀者( P)
music_performer,2,音乐( P)
music_publisher,19,音乐( P)
music_video_job,2,音乐   视频  工作
mysisterskeeper,5,我姐姐的守护者
naval_combatant,8,海军作战人员
newspaper_owner,32,报纸所有者( O)
nl_municipality,14,nl 市镇
nuclear_weapons,16,核武器
observatoriobpm,1,观察者bpm
olympic_athlete,52,奥运会 运动会
optical_science,1,光学 科学
overseas_france,2,海外( F)
overseas_region,1,海外地区
paleoingredient,2,纯度
patent_assignee,7,专利被转让者
performingearth,4,表演土
places_eastward,10,向东
places_westward,37,地点( W)
political_party,70,政党
pr_municipality,2,市镇
privatemilitary,1,私营军事
protected_sites,117,保护的站点( S)
publisher_extra,4,出版单位 外部
puffinnpolitics,4,泡泡政治学
pvonstackelberg,12,彭斯塔克尔贝格
recurring_event,21,重复活动( E)
religious_order,3,宗教顺序
research_center,1,研究( C)
retail_category,2,零售  类别
role_in_meeting,1,作用( M)
ru_federal_city,2,ru 联邦 城市
saveaussiemusic,2,拯救音乐
school_category,30,学校类别
school_district,2,学校 地区
secompaniesgt1b,1,公司名称gt1b
serialized_work,1,序列化  工作
sherlock_holmes,2,谢尔洛克( Holmes)
shipwreck_event,1,沉船事件
simpsons_writer,17,Simpsons 写作器
skill_equipment,1,技能设备
snl_cast_member,53,snl cast 成员
snl_fiver_timer,18,时间( T)
soccer_position,4,足球位置
social_software,84,社交软件
software_domain,1,软件域
source_organism,4,源组织
sovereign_state,192,主权国家( S)
spencermountain,48,斯彭塞尔山
split_completed,25,拆分( 已完成)
sports_facility,2,运动设施
sports_official,6,运动( O)
sports_position,54,运动位置
stock_character,5,存量( C)
studio_musician,1,录音室 音乐家
subject_of_diet,10,标题( D)
subject_of_joke,1,笑话主题( O)
super_bowl_goat,1,超级小鸟
theater_company,21,剧场 公司
title_presenter,4,标题( P)
topic_mentioned,2,提及的主题 
tourismontology,2,旅游业
tournament_team,2,锦标赛( T)
transit_vehicle,2,过境车辆
translated_work,3,翻译( W)
type_instrument,16,类型( I)
tyrranical_boss,4,毒性   boss
uk_civil_parish,26,uk 民用   parish
uk_council_area,7,uk council 区域
union_territory,2,联盟 领土
unreleased_game,1,未释放游戏( G)
usnationalparks,5,国家公园
vehicles_parked,3,已停用车辆( P)
venture_capital,71,风险 资本
victoriassecret,15,胜利秘密
visual_art_form,6,图像  艺术  形式
voter_registrar,1,登记人( R)
voting_district,2,投票 区
web_development,2,网络开发
wine_sub_region,22,葡萄酒   亚区域
work_of_fiction,218,工作( O)
world_cup_squad,30,世界( C)
youtube_channel,7,频道
abused_substance,1,滥用( A)
advertised_thing,9,广告( W)
advertising_role,1,广告( R)
airline_alliance,3,航空公司( Alliance)
airport_operator,5,机场运营者
alatasathanasios,5,阿拉塔萨塔尼奥斯
algorithm_family,6,算法( F)
allthingsnewyork,835,"所有东西,纽约克"
americancivilwar,2,美国内战
aniketpargaonkar,4,"aiketpargaonkar 互联网档案馆的存檔,存档日期2013-12-02."
antonym_relation,1,名称 关系
article_category,3,项 类别
australian_state,6,澳洲语 状态
australianpeople,1,澳洲人民
automotive_class,1,汽车 类
award_discipline,147,奖项 纪律
award_nomination,1,授标( N)
basilsamorucopia,1,巴西尔萨莫鲁科皮亚
basketball_coach,1,篮球( coach)
bio2rdf_chemical,1,生物2rdf 化学
birdconservation,10,鸟类保护
blogsemportugues,4,博客博客
brendankwilliams,1,布伦丹克威廉姆斯
building_complex,10,新建复数( Complex)
business_cliches,5,商务( C)
cabinet_position,3,内阁( P)
celestial_object,7,天体
character_gender,2,字符( G)
character_powers,15,字符权限( V)
charitable_field,5,慈善栏
chemical_element,10,化学元素( E)
chemical_science,1,化学 科学
circus_performer,1,马戏团( P)
cities_and_towns,11,城市( 和城镇)
classiccorvettes,11,经典科维特
cloned_character,2,克隆的特性( C)
cocktail_garnish,3,鸡尾酒
collectiblecards,2,可收藏卡
collective_focus,11,组合焦点
column_publisher,1,栏中( P)
comic_book_genre,39,漫画  book 流派
comic_book_inker,6,漫画  book  inker
competition_type,15,竞争( T)
complex_organism,1,复杂组织
conference_venue,8,会议( V)
consumer_company,81,消费者 公司
consumer_product,20,消费 产品
contact_category,9,联系人( C)
contraltosingers,52,反政府分子
convention_venue,3,公约
cricket_position,2,板球位置( P)
criminal_offense,4,犯罪
crown_dependency,3,冠依赖( D)
dental_specialty,1,牙科专业
design_specialty,1,设计 专业
digitalarchivist,13,数字档案学家
domestic_animals,7,国内动物
double_act_comic,8,双动 comic
elected_official,2,选中的官方( O)
endorsed_product,4,已认可产品( P)
endorsing_person,2,认可( P)
engineering_firm,3,工程学   公司
engineeringdraft,10,工程草稿
enhancedlocation,2,增加地点
environmentalism,6,环境主义
environmentalist,4,环保主义者
enzyme_inhibitor,1,酶  inhibitor
equivalent_topic,160,等同主题
event_in_fiction,5,事件( in)
exhibited_artist,4,显示艺人( T)
exhibition_venue,7,展览( V)
experted_subject,2,已鉴定主题
famous_deadheads,9,著名( D)
fantasy_football,69,幻想小球
fashion_designer,6,时尚设计器
fashion_retailer,1,时尚零售商
federal_district,2,联邦
fictional_object,3,虚构对象( O)
film_distributor,101,胶片( D)
film_ranch_owner,5,胶片( ranch 所有者)
fishery_location,29,渔场位置
game_voice_actor,103,游戏( V)
geographic_scope,12,地理范围
gift_card_issuer,10,赠与( C)
given_name_topic,1,给定的  名称  专题
gossipgirlbroken,4,流言蜚语的女孩
graphic_designer,4,图形设计器
group_membership,1,组( 成员)
hairstyle_gender,2,发型  性别
hindisoundtracks,8,离子轨道
historiaswidnika,2,托里亚斯维德尼卡
historical_event,6,历史事件
holiday_category,1,假日( C)
hud_county_place,573,hud 县 地点
ice_cream_flavor,1,冰激凌 风味
ikariam_research,3,ikariam  研究( R)
important_person,1,重要人物
important_topics,1,重要主题( T)
independent_city,1,独立城市( C)
influentialwomen,1,具有影响力的妇女
injury_treatment,1,伤害-治疗
italian_loanword,10,意大利语   借词
jewish_community,2,犹太语社区
jonathan_goodman,1,乔纳森好人
language_creator,2,语言创建器( C)
language_dialect,3,语言( D)
legislative_body,7,立法机构
librarianavenger,8,图书管理员
local_businesses,1,本地企业
macarthur_fellow,12,毛发  fellow
maximilianschich,7,最大强度
measurement_unit,1,测量 单位
memberofcongress,2,议员
metadata_keyword,4,元数据键字
meteorite_source,2,陨石来源( S)
michaelcrichton1,5,迈克尔克里克顿1
military_service,5,兵役
military_theater,2,军事( T)
molecular_entity,1,分子 实体
molecular_target,5,分子目标
moviemotel_title,3,电影机 标题
musical_composer,1,音乐组合器
musical_director,7,音乐 导演
natural_location,2,自然位置
non_profit_extra,149,非盈利性
northern_ireland,4,北爱尔兰语
oakvillebusiness,1,奥克维尔企业
object_of_parody,5,参数( O)
olympic_medalist,6,奥林匹克 医学家
operating_system,15,操作系统
outdoor_activity,2,户外活动
papoiteskingboys,2,偷窥男孩
parodied_subject,63,已解析主题
patronage_sector,6,赞助  部门
pedigreed_animal,2,动物
performance_role,132,性能( R)
person_with_name,1,名称( W)
pet_apparel_user,2,pet apparel 用户
phenotypic_trait,1,双螺旋
photograph_album,1,图片( album)
place_of_worship,3,错误位置( O)
playboyplaymates,17,游戏玩家
popular_websites,1,流行网站( W)
power_plant_type,1,电源 植入 类型
presidentialpets,2,总统候选人
primary_identity,2,初等身份( D)
printmaking_term,1,打印时间( T):
product_category,22,产品 类别
product_designer,2,产品设计器
product_endorsee,8,产品结果( endorse)
product_endorser,37,产品创建器( A)
product_promoted,1,产品 推广
productplacement,41,产品放置
proposedprojects,4,拟议项目
qualified_values,2,限定值( V)
quotation_source,105,引用( S)
railway_operator,1,铁道操作器
railway_terminus,13,铁路 结束
ranked_list_item,86,排序( L)
recording_studio,1,记录  studio
recordingstudios,3,录音
regional_cuisine,5,区域( C)
religious_leader,4,宗教领袖
reviewed_authors,2,被审查者( A)
roadrunnertalent,1,道路通畅度
school_tradition,3,学校 传统
service_category,9,服务  类别
sharing_location,11,共享位置( S)
siswimsuitmodels,64,女装模型
socialnetworking,2,社会联网
sociology_theory,1,社会学 理论
software_creator,2,软件创建器
software_license,6,软件 许可证
soundengineering,1,音响工程
sovereign_domain,1,主权区域
sports_equipment,2,运动设备
star_system_body,4,星体( S)
stimulustracking,19,刺激跟踪
strangeebayitems,2,奇怪的东西
subject_taxonomy,1,主题( T)
summermovies2009,392,2009年夏季活动
taxonomy_subject,498,分类学 主题
technology_class,1,技术 类
testmatchspecial,2,测试特殊
the_big_lebowski,4,大的李波斯基语
theater_designer,13,剧场设计器( D)
theater_director,66,剧场 导演
theater_producer,68,剧场 制片人
tigerbloodintern,1,虎血实习生
topic_film_title,1,专题 电影 标题
tournament_event,1,锦标赛 活动
trademark_holder,11,商标持有人
treaty_signatory,10,条约签署者
trenthergenrader,5,转基因器
tv_producer_type,1,tv 制片人 类型
tv_program_extra,23,tv 程序外
tv_program_guest,750,tv program 客户端
tv_series_season,6,tv 系列 季节
tv_station_owner,27,tv 站点 所有者
type_of_festival,2,庆典类型( F)
typeface_foundry,5,类型face 创建
uml_diagram_type,1,uml diagram 类型
us_national_park,1,us 国家( P)
venture_investor,49,风险投资人
visual_art_genre,5,视觉艺术  流派
website_category,93,网站 类别
whurrraywebworld,1,微风网世界
wireless_hotspot,1,无线热点
abbreviated_topic,7,缩略语 主题
ad_network_region,1,ad network 区域
adopted_character,1,已通过的字符( C)
adult_entertainer,1,成人( N)
aircraft_designer,5,飞机设计器( D)
alternate_persona,1,备用人名( P)
american_football,128,美国小球
anime_manga_genre,21,anime manga 流派
architecture_firm,3,结构( F):
at_statutory_city,5,法定( C)
athletics_country,24,田径 国家
audio_book_reader,14,音频读取器
australian_suburb,5,澳洲语  郊区
aviophobic_person,16,恐惧症( P)
bangladeshipeople,1,黑帮
barossavalleywine,1,萨瓦利酒
baseball_position,14,棒球位置( P)
basketball_player,22,篮球  玩家
birdwatching_term,1,观鸟时间
blackhistorymonth,183,黑历史月
bridge_tournament,1,桥形路径( T)
building_function,19,图标( 函数)
building_occupant,40,大楼( 用户)
business_location,27,商务( L)
business_services,1,商业   服务
californiahistory,3,加利福尼亚历史
campaign_location,3,活动位置( S)
career_succession,2,职业( S)
cfl_football_team,4,cfl  football 团队
character_species,21,字符( S)
chemical_compound,52,化学聚合
chicken_egg_color,1,鸡尾酒( E)
christianrapmusic,3,克里斯蒂安拉普音乐
citizenjournalism,3,公民记者
classicvideogames,2,经典视频游戏
coaching_position,4,辅导( P)
collaborator_role,6,协作者 作用
collective_member,15,集体成员
coloniesandempire,215,殖民地和殖民地
comic_book_editor,3,漫画 书本编辑器
comic_book_series,2,漫画 书本 系列
comic_book_writer,21,漫画   书写器
comic_strip_genre,19,漫画  strip 流派
competitive_space,6,竞争性空间( C)
computer_designer,7,计算机设计器( D)
computer_game_mod,2,计算机  game  mod
computer_hardware,1,计算机硬件
concept_developer,2,概念   开发者
concepts_theories,14,概念 理论
convention_leader,1,公约牵头人
country_of_origin,10,原产地国( O)
courier_transport,1,信使 运输
covering_material,1,覆盖  材料
crimeandforensics,1,犯罪和司法
csa_coverage_area,1,csa 覆盖区域
cultural_movement,1,文化运动
dance_movie_genre,1,舞蹈 电影 流派
datedlocationtest,30,日期定位测试
de_urban_district,44,市区( D)
deceased_organism,2,已死亡组织( O)
dinosaur_location,6,恐龙位置( L)
disaster_survivor,2,灾害幸存者
disputed_location,1,有争议的位置( O)
distilled_spirits,8,蒸馏( S)
documented_object,1,文档对象( O)
drug_legal_status,2,药物 法律 状态
drug_manufacturer,7,药品制造商
earmark_recipient,1,指定收件者
election_campaign,1,选举( C)
energy_technology,1,能源技术
environmental_art,5,环境艺术
eventparticipants,21,活动参与者
exercise_programs,4,演练 程序
fairy_tale_origin,3,童话( T)
federal_territory,1,联邦 领土
fermentation_base,1,发酵 碱
fictional_setting,218,虚构设置( S)
fictional_symptom,1,虚构 同义词
fictionaluniverse,11,虚构单曲
file_format_genre,1,文件( F)
film_art_director,65,电影 艺术 导演
film_set_designer,47,胶片 set 设计器
football_position,9,橄榄球位置
funeral_insurance,1,丧葬保险
government_agency,30,政府机构
governmental_body,34,政府机关
handball_position,1,手球位置( P)
historical_events,1,历史事件
historical_period,5,历史期间
historyof3dmovies,2,3dmovies的历史
hockey_conference,1,曲棍球会议( C)
identifier_issuer,1,标识符  签发者
ikariam_buildings,1,结构
industrystandards,1,工业标准
investment_broker,7,投资 经纪人
jewishcommunities,4,犹太社区
literary_movement,8,文学运动
liveuspoliticians,4,生活政治主义者
long_list_nominee,16,ưμ㼯A
magicthegathering,6,魔术收集
manga_illustrator,1,壁画
martialartsstyles,1,武术风格
medical_specialty,17,医学   专科
medical_treatment,31,医疗-治疗
meeting_organizer,2,会 议 组织者
metadata_keyword1,1,元数据键字1
metropolitan_area,1,大都会区域
metropolitan_city,2,大都会 城市
military_conflict,74,军事-冲突
militaryinfiction,33,军事虚构
mobile_tv_network,1,移动 tv 网络
montagueinstitute,12,蒙塔格扬
mothersoftheworld,1,世界母亲
mtg_creature_type,1,mtg creature 类型
music_contributor,707,音乐( C)
music_video_genre,15,音乐 视频 流派
musician_products,3,音乐家 产品
mysophobic_person,6,恐惧症小人
mythical_creature,4,虚构小说( C)
natural_satellite,4,自然卫星
news_organization,2,新闻组织
nfl_clothes_horse,1,nfl 布衫 马
notablenewyorkers,36,显著的新青年
nuclear_moderator,1,核调器
official_language,44,正式语文
olympic_host_city,32,奥林匹克 东道主 城市
onlineadvertising,30,在线广告
ontology_instance,2380,肿瘤学( N)
order_of_chivalry,12,缩略语( I)
organization_type,51,组织类型( T)
performance_venue,2,表演( V)
periodical_editor,5,期刊编辑器( E)
periodical_format,1,常规( F)
person_in_fiction,297,人物小说
philadelphiaqfest,5,菲拉德尔菲亚克节
physical_movement,2,物理运动
planned_community,1,已规划社区
police_department,1,警察部门
polling_authority,8,投票权限
practical_problem,1,实际问题
practicer_of_diet,156,练习器( D)
primary_candidate,11,初级日期( C)
pro_skateboarders,1,预选板
proofsareprograms,13,证明程序
proposed_solution,2,拟议解决方案
proposition_issue,15,命题  问题
protocol_provider,2,协议提供方
public_university,1,公立大学
quotation_subject,209,引号 主题
real_estate_sales,1,不动产( E)
reality_tv_season,1,现实   tv 季节
reason_for_arrest,2,逮捕理由( P)
recipe_ingredient,17,食谱
recreational_drug,1,娱乐 药物
relationship_type,1,关系( T)
release_component,1,释放 组件
researchlocations,8,研究地点
ride_manufacturer,2,骑车制造商
saturdaynightlive,1272,周六夜间生活
school_in_fiction,32,学校 小说
school_of_thought,3,预想学校( O)
service_clientele,3,服务( C)
si_swimsuit_model,5,si swimsuit 型号
snl_musical_guest,264,音乐( G)
snl_sketch_series,1,snl sketch 序列
socialsciencedata,1,社会科学数据
software_platform,1,软件平台
songforallseasons,3,歌唱所有季节
species_described,1,物种描述( D)
spi_coverage_type,1,spi 覆盖 类型
sport_club_player,3,运动 俱乐部 玩家
sports_award_type,8,运动( A)
sports_exhibition,1,体育活动( Exhibition)
sports_team_coach,1,运动( T)
sports_team_extra,854,运动( T)
sports_team_owner,27,运动   团队  拥有者
sports_tournament,1,运动( T)
surprisingheights,74,惊人的脚步
survivor_location,2,幸存者位置( S)
synopsized_animal,5,缩略语 动物
technologyofdoing,17,技术
test_card_creator,1,测试( C)
theater_character,4,剧场( C)
tonyfranksbuckley,3,托尼·弗兰克斯布基
tv_series_episode,17,tv 系列 集成
tv_song_performer,13,tv song perforce (帮助)
type_of_ecosystem,1,系统类型( O)
uk_london_borough,6,uk london borough (中文(简体) ).
uk_principal_area,6,uk 主要区域
unitary_authority,31,统一权限( A)
university_system,1,大学系统
us_representative,6,us 代表
us_vice_president,12,us vice president
video_store_stock,1,视频  store  stock
virginiabroadband,11,处女宽带
visual_art_medium,14,视觉   艺术  中
world_of_warcraft,2,战争世界( O)
yamahamotorcycles,1,山地冷却机
accommodation_type,1,住宿类型
acoustic_guitarist,3,声学   吉他
adjectified_entity,3,标注的 实体
adoptive_character,1,收养( C)
adultentertainment,2,成人娱乐
agoraphobic_person,5,恐惧( P)
album_content_type,1,相册 内容 类型
appointed_official,2,任命( O)
artist_s_or_band_s,65,艺人 s 或 band s
astrologicalplanet,4,占星图
australian_company,2,澳大利亚 公司
australianpolitics,5,美国政治
award_winning_work,1565,获奖  工作
benedictine_abbeys,1,贝内迪克廷 修道院
biosafety_facility,2,生物安全设施
board_member_title,17,棋盘 成员 标题
business_operation,723,运营
ca_census_division,8,ca 人口普查 分区
camera_film_format,1,相机 电影 格式
cataloged_composer,15,编目( C)
cataloged_instance,1,编目( I)
caucus_chairperson,1,核心小组主席
cheese_milk_source,3,奶酪 牛奶 来源
classicvideogames1,2,经典视频游戏1
comic_book_creator,42,漫画   书本创建器
compositional_form,25,组成( F)
computer_scientist,2,计算机科学家
computer_videogame,11,计算机 视频游戏
computing_platform,12,计算( P)
conducted_ensemble,1,正在举办的活动( C)
conference_sponsor,18,大会( P)
conference_subject,25,会议 主题
configuration_type,1,配置 类型
conservationaction,11,养护行动
contactor_category,1,联系人  分类
convention_speaker,9,常规语句( S)
convicted_criminal,36,已定罪   犯罪
corporate_criminal,2,法人
cultivar_developer,2,种植者  开发者
cycling_discipline,5,自行车  纪律
dangerous_activity,2,危险活动
deadhead_lifestyle,1,死胡同( L)
destinationsguides,2,目的地指南
destruction_method,1,销毁方法( M)
drug_dosage_flavor,3,药物( D)
e18_physical_thing,1,e18  物理   东西
educational_degree,27,学历
engineering_person,3,工程学   人物
exhibition_sponsor,26,展览( P)
exhibition_subject,130,展览 主题
fictional_diseases,2,虚构 疾病
fictional_employer,13,虚构的雇主
fictional_language,13,虚构   语言
fictional_universe,1610,虚构单向
form_of_government,6,格式( O)
geographical_scope,34,地理范围
germanjazzandblues,5,细菌
gift_card_category,4,天赋( C)
golden_book_author,1,金色  书本  作者
golden_book_series,1,金色  book  系列
host_of_oscar_show,52,主机 oscar 显示
in_union_territory,2,合并( T)
industry_standards,1,行业 标准
infectious_disease,26,传染性疾病
information_source,17,信息 来源
interesting_people,2,有趣的人们
internettechnology,8,互联网技术
jp_designated_city,9,jp  指定城市
kingdom_of_denmark,2,王国( O)
known_participants,21,已知参与者( S)
landlocked_country,41,内陆国
legal_jurisdiction,1,司法管辖权
location_of_events,2,活动位置( O)
londonfilmfestival,38,伦敦电影节
military_character,1,军事( C)
military_combatant,193,作战人员
military_commander,46,军事
mobile_phone_brand,8,移动 手机 品牌
modeling_specialty,5,建模 专业
modernbluestocking,1,现代蓝种
music_artist_extra,2,音乐 艺术 外部
my_favorite_things,33,我最喜欢的东西
new_zealand_region,1,新泽地  区域
nobel_prize_winner,39,无贝尔  prize  winner
nobel_subject_area,46,无贝尔  主题  区域
non_character_role,10,非字符( C)
nps_classification,1,nps 分类
observance_founder,1,遵守创建者
organization_extra,203,外部组织( O)
organization_scope,438,组织范围( S)
overseas_territory,7,海外( T)
parent_institution,95,父机构
parksandrecreation,7,公园娱乐
participation_role,1,参与 作用
periodical_subject,118,常规 主题
person_name_suffix,1,人名后缀
photographed_event,3,图片事件( V)
place_in_the_world,1,在 世界中
place_of_interment,248,间距( O)
